Frequency_THz,R_air,R_water
1.532066033016508300e+02,8.894346507406631908e-01,8.885706480051966949e-01
1.532466233116558385e+02,8.894026319826782156e-01,8.885170797199053450e-01
1.532866433216608186e+02,8.893706131147897098e-01,8.884630141050648966e-01
1.533266633316658272e+02,8.893385941327586197e-01,8.884084407579989628e-01
1.533666833416708357e+02,8.893065750321890173e-01,8.883533490856402315e-01
1.534067033516758443e+02,8.892745558085221047e-01,8.882977283016992853e-01
1.534467233616808528e+02,8.892425364570306634e-01,8.882415674238091086e-01
1.534867433716858329e+02,8.892105169728129477e-01,8.881848552706412825e-01
1.535267633816908415e+02,8.891784973507863565e-01,8.881275804589956469e-01
1.535667833916958500e+02,8.891464775856819935e-01,8.880697314008643151e-01
1.536068034017008586e+02,8.891144576720367843e-01,8.880112963004680449e-01
1.536468234117058387e+02,8.890824376041878141e-01,8.879522631512672959e-01
1.536868434217108472e+02,8.890504173762644458e-01,8.878926197329466419e-01
1.537268634317158558e+02,8.890183969821814358e-01,8.878323536083729817e-01
1.537668834417208643e+02,8.889863764156318293e-01,8.877714521205295473e-01
1.538069034517258729e+02,8.889543556700785221e-01,8.877099023894216012e-01
1.538469234617308530e+02,8.889223347387468221e-01,8.876476913089599297e-01
1.538869434717358615e+02,8.888903136146155681e-01,8.875848055438163575e-01
1.539269634817408701e+02,8.888582922904093575e-01,8.875212315262567264e-01
1.539669834917458786e+02,8.888262707585892208e-01,8.874569554529472271e-01
1.540070035017508872e+02,8.887942490113437399e-01,8.873919632817380831e-01
1.540470235117558673e+02,8.887622270405793889e-01,8.873262407284218112e-01
1.540870435217608758e+02,8.887302048379108754e-01,8.872597732634679435e-01
1.541270635317658844e+02,8.886981823946519254e-01,8.871925461087354359e-01
1.541670835417708929e+02,8.886661597018034042e-01,8.871245442341596510e-01
1.542071035517759015e+02,8.886341367500441013e-01,8.870557523544190248e-01
1.542471235617808816e+02,8.886021135297187401e-01,8.869861549255766420e-01
1.542871435717858901e+02,8.885700900308270977e-01,8.869157361417019381e-01
1.543271635817908987e+02,8.885380662430120147e-01,8.868444799314693094e-01
1.543671835917959072e+02,8.885060421555474042e-01,8.867723699547357397e-01
1.544072036018008873e+02,8.884740177573255959e-01,8.866993895990975538e-01
1.544472236118058959e+02,8.884419930368443463e-01,8.866255219764261897e-01
1.544872436218109044e+02,8.884099679821940709e-01,8.865507499193848728e-01
1.545272636318159130e+02,8.883779425810429675e-01,8.864750559779246419e-01
1.545672836418209215e+02,8.883459168206241374e-01,8.863984224157619440e-01
1.546073036518259016e+02,8.883138906877198204e-01,8.863208312068369121e-01
1.546473236618309102e+02,8.882818641686468508e-01,8.862422640317541012e-01
1.546873436718359187e+02,8.882498372492412253e-01,8.861627022742062376e-01
1.547273636818409273e+02,8.882178099148410055e-01,8.860821270173787623e-01
1.547673836918459358e+02,8.881857821502713302e-01,8.860005190403408282e-01
1.548074037018509159e+02,8.881537539398258740e-01,8.859178588144177580e-01
1.548474237118559245e+02,8.881217252672495288e-01,8.858341264995500675e-01
1.548874437218609330e+02,8.880896961157208613e-01,8.857493019406370571e-01
1.549274637318659416e+02,8.880576664678324628e-01,8.856633646638663038e-01
1.549674837418709217e+02,8.880256363055721858e-01,8.855762938730306066e-01
1.550075037518759302e+02,8.879936056103027164e-01,8.854880684458307227e-01
1.550475237618809388e+02,8.879615743627415902e-01,8.853986669301685541e-01
1.550875437718859473e+02,8.879295425429388766e-01,8.853080675404263467e-01
1.551275637818909559e+02,8.878975101302568618e-01,8.852162481537378946e-01
1.551675837918959360e+02,8.878654771033458459e-01,8.851231863062480887e-01
1.552076038019009445e+02,8.878334434401218278e-01,8.850288591893645807e-01
1.552476238119059531e+02,8.878014091177427458e-01,8.849332436460015661e-01
1.552876438219109616e+02,8.877693741125827209e-01,8.848363161668152399e-01
1.553276638319159701e+02,8.877373384002078538e-01,8.847380528864337013e-01
1.553676838419209503e+02,8.877053019553488022e-01,8.846384295796804187e-01
1.554077038519259588e+02,8.876732647518743580e-01,8.845374216577938098e-01
1.554477238619309674e+02,8.876412267627639130e-01,8.844350041646433791e-01
